2022-10-17 13:37:55 - [clash]: level=info msg="Mixed(http+socks) proxy listening at: [::]:7890"
2022-10-17 13:37:55 - [clash]: level=info msg="RESTful API listening at: 127.0.0.1:9090"
2022-10-17 13:37:55 - [clash]: level=info msg="Start initial compatible provider 🛑 全球拦截"
2022-10-17 13:37:55 - [clash]: level=info msg="Start initial compatible provider 🌍 国外媒体"
2022-10-17 13:37:55 - [clash]: level=info msg="Start initial compatible provider 📲 电报信息"
2022-10-17 13:37:55 - [clash]: level=info msg="Start initial compatible provider 🐟 漏网之鱼"
2022-10-17 13:37:55 - [clash]: level=info msg="Start initial compatible provider 🍎 苹果服务"
2022-10-17 13:37:55 - [clash]: level=info msg="Start initial compatible provider 🔰 节点选择"
2022-10-17 13:37:55 - [clash]: level=info msg="Start initial compatible provider Ⓜ️ 微软服务"
2022-10-17 13:37:55 - [clash]: level=info msg="Start initial compatible provider 🌏 国内媒体"
2022-10-17 13:37:55 - [clash]: level=info msg="Start initial compatible provider 🎯 全球直连"
2022-10-17 13:37:55 - [clash]: level=info msg="Start initial compatible provider ♻️ 自动选择"
2022-10-17 13:38:58 - [clash]: level=info msg="Start initial compatible provider 🎯 全球直连"
2022-10-17 13:38:58 - [clash]: level=info msg="Start initial compatible provider ♻️ 自动选择"
2022-10-17 13:38:58 - [clash]: level=info msg="Start initial compatible provider 🔰 节点选择"
2022-10-17 13:38:58 - [clash]: level=info msg="Start initial compatible provider 🌍 国外媒体"
2022-10-17 13:38:58 - [clash]: level=info msg="Start initial compatible provider 🍎 苹果服务"
2022-10-17 13:38:58 - [clash]: level=info msg="Start initial compatible provider 🌏 国内媒体"
2022-10-17 13:38:58 - [clash]: level=info msg="Start initial compatible provider Ⓜ️ 微软服务"
2022-10-17 13:38:58 - [clash]: level=info msg="Start initial compatible provider 🛑 全球拦截"
2022-10-17 13:38:58 - [clash]: level=info msg="Start initial compatible provider 🐟 漏网之鱼"
2022-10-17 13:38:58 - [clash]: level=info msg="Start initial compatible provider 📲 电报信息"
2022-10-17 13:49:45 - [clash]: level=info msg="[TCP] 127.0.0.1:41320 --> clientservices.googleapis.com:443 using GLOBAL"
2022-10-17 13:49:45 - [clash]: level=info msg="[TCP] 127.0.0.1:41318 --> clients2.google.com:443 using GLOBAL"
2022-10-17 13:49:45 - [clash]: level=info msg="[TCP] 127.0.0.1:41322 --> accounts.google.com:443 using GLOBAL"
2022-10-17 13:49:45 - [clash]: level=info msg="[TCP] 127.0.0.1:41324 --> www.google.com:443 using GLOBAL"
2022-10-17 13:49:46 - [clash]: level=info msg="[TCP] 127.0.0.1:41326 --> www.google.com:443 using GLOBAL"
2022-10-17 13:49:46 - [clash]: level=info msg="[TCP] 127.0.0.1:41328 --> www.google.com:443 using GLOBAL"
2022-10-17 13:49:46 - [clash]: level=info msg="[TCP] 127.0.0.1:41330 --> www.google.com:443 using GLOBAL"
2022-10-17 13:49:51 - [clash]: level=warning msg="[TCP] dial GLOBAL to edgedl.me.gvt1.com:80 error: v138a.runba.gq:80 connect error: lookup v138a.runba.gq: i/o timeout"
2022-10-17 13:49:51 - [clash]: level=warning msg="[TCP] dial GLOBAL to www.gstatic.com:443 error: v138a.runba.gq:80 connect error: lookup v138a.runba.gq: i/o timeout"
2022-10-17 13:49:51 - [clash]: level=warning msg="[TCP] dial GLOBAL to www.gstatic.com:443 error: v138a.runba.gq:80 connect error: dial tcp4 46.17.40.230:80: i/o timeout"
2022-10-17 13:49:51 - [clash]: level=warning msg="[TCP] dial GLOBAL to www.gstatic.com:443 error: v138a.runba.gq:80 connect error: dial tcp4 46.17.40.230:80: i/o timeout"
2022-10-17 13:49:51 - [clash]: level=info msg="[TCP] 127.0.0.1:41342 --> www.gstatic.com:443 using GLOBAL"
2022-10-17 13:49:52 - [clash]: level=info msg="[TCP] 127.0.0.1:41346 --> www.gstatic.com:443 using GLOBAL"
2022-10-17 13:49:52 - [clash]: level=info msg="[TCP] 127.0.0.1:41344 --> www.gstatic.com:443 using GLOBAL"
2022-10-17 13:49:52 - [clash]: level=info msg="[TCP] 127.0.0.1:41348 --> apis.google.com:443 using GLOBAL"
2022-10-17 13:49:53 - [clash]: level=info msg="[TCP] 127.0.0.1:41332 --> edgedl.me.gvt1.com:80 using GLOBAL"
2022-10-17 13:49:58 - [clash]: level=info msg="[TCP] 127.0.0.1:41350 --> optimizationguide-pa.googleapis.com:443 using GLOBAL"
2022-10-17 13:49:59 - [clash]: level=info msg="[TCP] 127.0.0.1:41352 --> optimizationguide-pa.googleapis.com:443 using GLOBAL"
2022-10-17 13:49:59 - [clash]: level=info msg="[TCP] 127.0.0.1:41354 --> optimizationguide-pa.googleapis.com:443 using GLOBAL"
2022-10-17 13:50:07 - [clash]: level=info msg="[TCP] 127.0.0.1:41358 --> encrypted-tbn0.gstatic.com:443 using GLOBAL"
2022-10-17 13:50:07 - [clash]: level=info msg="[TCP] 127.0.0.1:41360 --> encrypted-tbn0.gstatic.com:443 using GLOBAL"
2022-10-17 13:50:07 - [clash]: level=info msg="[TCP] 127.0.0.1:41356 --> encrypted-tbn0.gstatic.com:443 using GLOBAL"
2022-10-17 13:50:08 - [clash]: level=info msg="[TCP] 127.0.0.1:41362 --> fonts.gstatic.com:443 using GLOBAL"
2022-10-17 13:50:08 - [clash]: level=info msg="[TCP] 127.0.0.1:41364 --> fonts.gstatic.com:443 using GLOBAL"
2022-10-17 13:50:08 - [clash]: level=info msg="[TCP] 127.0.0.1:41366 --> translate.googleapis.com:443 using GLOBAL"
2022-10-17 13:50:09 - [clash]: level=info msg="[TCP] 127.0.0.1:41368 --> play.google.com:443 using GLOBAL"
2022-10-17 13:50:10 - [clash]: level=info msg="[TCP] 127.0.0.1:41370 --> play.google.com:443 using GLOBAL"
2022-10-17 13:50:15 - [clash]: level=warning msg="[TCP] dial GLOBAL to adservice.google.com:443 error: v138a.runba.gq:80 connect error: lookup v138a.runba.gq: i/o timeout"
2022-10-17 13:50:16 - [clash]: level=info msg="[TCP] 127.0.0.1:41374 --> adservice.google.com:443 using GLOBAL"
2022-10-17 13:50:23 - [clash]: level=info msg="[TCP] 127.0.0.1:41376 --> ogs.google.com:443 using GLOBAL"
2022-10-17 13:50:25 - [clash]: level=info msg="[TCP] 127.0.0.1:41378 --> ssl.gstatic.com:443 using GLOBAL"
2022-10-17 13:50:26 - [clash]: level=info msg="[TCP] 127.0.0.1:41380 --> accounts.google.com:443 using GLOBAL"
2022-10-17 13:50:28 - [clash]: level=info msg="[TCP] 127.0.0.1:41384 --> www.gstatic.com:443 using GLOBAL"
2022-10-17 13:50:28 - [clash]: level=info msg="[TCP] 127.0.0.1:41382 --> accounts.google.com:443 using GLOBAL"
2022-10-17 13:50:32 - [clash]: level=warning msg="[TCP] dial GLOBAL to clients2.google.com:443 error: v138a.runba.gq:80 connect error: lookup v138a.runba.gq: i/o timeout"
2022-10-17 13:50:33 - [clash]: level=info msg="[TCP] 127.0.0.1:41392 --> fonts.gstatic.com:443 using GLOBAL"
2022-10-17 13:50:33 - [clash]: level=info msg="[TCP] 127.0.0.1:41396 --> fonts.gstatic.com:443 using GLOBAL"
2022-10-17 13:50:33 - [clash]: level=info msg="[TCP] 127.0.0.1:41390 --> fonts.gstatic.com:443 using GLOBAL"
2022-10-17 13:50:33 - [clash]: level=info msg="[TCP] 127.0.0.1:41400 --> fonts.gstatic.com:443 using GLOBAL"
2022-10-17 13:50:33 - [clash]: level=info msg="[TCP] 127.0.0.1:41388 --> accounts.google.com:443 using GLOBAL"
2022-10-17 13:50:33 - [clash]: level=info msg="[TCP] 127.0.0.1:41406 --> play.google.com:443 using GLOBAL"
2022-10-17 13:50:33 - [clash]: level=info msg="[TCP] 127.0.0.1:41398 --> fonts.gstatic.com:443 using GLOBAL"
2022-10-17 13:50:33 - [clash]: level=info msg="[TCP] 127.0.0.1:41402 --> ssl.gstatic.com:443 using GLOBAL"
2022-10-17 13:50:33 - [clash]: level=info msg="[TCP] 127.0.0.1:41404 --> accounts.youtube.com:443 using GLOBAL"
2022-10-17 13:50:33 - [clash]: level=info msg="[TCP] 127.0.0.1:41394 --> fonts.gstatic.com:443 using GLOBAL"
2022-10-17 13:50:33 - [clash]: level=info msg="[TCP] 127.0.0.1:41408 --> clients2.google.com:443 using GLOBAL"
2022-10-17 13:50:33 - [clash]: level=info msg="[TCP] 127.0.0.1:41416 --> fonts.gstatic.com:443 using GLOBAL"
2022-10-17 13:50:33 - [clash]: level=info msg="[TCP] 127.0.0.1:41410 --> fonts.gstatic.com:443 using GLOBAL"
2022-10-17 13:50:33 - [clash]: level=info msg="[TCP] 127.0.0.1:41414 --> fonts.gstatic.com:443 using GLOBAL"
2022-10-17 13:50:33 - [clash]: level=info msg="[TCP] 127.0.0.1:41412 --> fonts.gstatic.com:443 using GLOBAL"
2022-10-17 13:50:33 - [clash]: level=info msg="[TCP] 127.0.0.1:41418 --> clients2.googleusercontent.com:443 using GLOBAL"
2022-10-17 13:50:34 - [clash]: level=info msg="[TCP] 127.0.0.1:41420 --> edgedl.me.gvt1.com:80 using GLOBAL"
2022-10-17 13:50:36 - [clash]: level=info msg="[TCP] 127.0.0.1:41422 --> optimizationguide-pa.googleapis.com:443 using GLOBAL"
2022-10-17 13:50:42 - [clash]: level=warning msg="[TCP] dial GLOBAL to optimizationguide-pa.googleapis.com:443 error: v138a.runba.gq:80 connect error: lookup v138a.runba.gq: i/o timeout"
2022-10-17 13:50:42 - [clash]: level=info msg="[TCP] 127.0.0.1:41426 --> optimizationguide-pa.googleapis.com:443 using GLOBAL"
2022-10-17 13:50:45 - [clash]: level=info msg="[TCP] 127.0.0.1:41428 --> update.googleapis.com:443 using GLOBAL"
2022-10-17 13:50:47 - [clash]: level=info msg="[TCP] 127.0.0.1:41430 --> edgedl.me.gvt1.com:80 using GLOBAL"
2022-10-17 13:51:02 - [clash]: level=info msg="[TCP] 127.0.0.1:41430 --> edgedl.me.gvt1.com:80 using GLOBAL"
2022-10-17 13:51:29 - [clash]: level=info msg="[TCP] 127.0.0.1:41432 --> accounts.google.com:443 using GLOBAL"
2022-10-17 13:51:30 - [clash]: level=info msg="[TCP] 127.0.0.1:41436 --> accounts.google.com:443 using GLOBAL"
2022-10-17 13:51:50 - [clash]: level=info msg="[TCP] 127.0.0.1:41438 --> www.google.com:443 using GLOBAL"
2022-10-17 13:52:17 - [clash]: level=info msg="[TCP] 127.0.0.1:41440 --> safebrowsing.googleapis.com:443 using GLOBAL"
2022-10-17 13:54:46 - [clash]: level=info msg="[TCP] 127.0.0.1:41442 --> beacons.gcp.gvt2.com:443 using GLOBAL"
2022-10-17 13:54:47 - [clash]: level=info msg="[TCP] 127.0.0.1:41444 --> apis.google.com:443 using GLOBAL"
2022-10-17 13:55:26 - [clash]: level=info msg="[TCP] 127.0.0.1:41446 --> play.google.com:443 using GLOBAL"
2022-10-17 13:56:31 - [clash]: level=info msg="[TCP] 127.0.0.1:41448 --> accounts.google.com:443 using GLOBAL"
2022-10-17 13:59:47 - [clash]: level=info msg="[TCP] 127.0.0.1:41450 --> beacons.gcp.gvt2.com:443 using GLOBAL"
2022-10-17 13:59:48 - [clash]: level=info msg="[TCP] 127.0.0.1:41452 --> apis.google.com:443 using GLOBAL"
2022-10-17 14:00:51 - [clash]: level=info msg="[TCP] 127.0.0.1:41454 --> accounts.google.com:443 using GLOBAL"
2022-10-17 14:00:53 - [clash]: level=info msg="[TCP] 127.0.0.1:41456 --> ssl.gstatic.com:443 using GLOBAL"
2022-10-17 14:00:53 - [clash]: level=info msg="[TCP] 127.0.0.1:41460 --> accounts.youtube.com:443 using GLOBAL"
2022-10-17 14:00:53 - [clash]: level=info msg="[TCP] 127.0.0.1:41462 --> play.google.com:443 using GLOBAL"
2022-10-17 14:01:41 - [clash]: level=info msg="[TCP] 127.0.0.1:41464 --> www.googleapis.com:443 using GLOBAL"
2022-10-17 14:01:42 - [clash]: level=info msg="[TCP] 127.0.0.1:41466 --> accounts.google.com.hk:443 using GLOBAL"
2022-10-17 14:01:42 - [clash]: level=info msg="[TCP] 127.0.0.1:41468 --> android.clients.google.com:443 using GLOBAL"
2022-10-17 14:01:42 - [clash]: level=info msg="[TCP] 127.0.0.1:41470 --> accountcapabilities-pa.googleapis.com:443 using GLOBAL"
2022-10-17 14:01:42 - [clash]: level=info msg="[TCP] 127.0.0.1:41472 --> clients4.google.com:443 using GLOBAL"
2022-10-17 14:01:42 - [clash]: level=info msg="[TCP] 127.0.0.1:41474 --> securitydomain-pa.googleapis.com:443 using GLOBAL"
